ID,Input,Output
11,"The Taj Mahal is an ivory-white marble mausoleum on the right bank of the river Yamuna in Agra, Uttar Pradesh, India. It was commissioned in 1631 by the fifth Mughal emperor, Shah Jahan, to house the ~_~mausoleum of his beloved wife, Mumtaz Mahal; it also houses the ~_~mausoleum of Shah Jahan himself.","tomb,tomb"
13,"The Eiffel Tower (French: Tour Eiffel) is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower from 1887 to 1889. Locally nicknamed 'La dame de fer' (French for 'Iron Lady'), it was ~_~built as the centerpiece of the 1889 World's Fair. Although initially criticised by some of France's leading artists and intellectuals for its design, it has since become a global cultural icon of France and one of the most recognisable structures in the world. The tower received 5,889,000 visitors in 2022. The Eiffel Tower is the most visited ~_~structure with an entrance fee in the world: 6.91 million people ascended it in 2015. It was designated a ~_~structure historique in 1964, and was named part of a UNESCO World Heritage Site ('Paris, Banks of the Seine') in 1991.","constructed,monument,monument"
14,"The design of the Eiffel Tower is attributed to Maurice Koechlin and √âmile Nouguier, two senior engineers working for the Compagnie des √âtablissements Eiffel. It was ~_~designed after discussion about a suitable centerpiece for the proposed 1889 Exposition Universelle, a world's fair to celebrate the centennial of the French Revolution. Eiffel openly acknowledged that inspiration for a tower came from the Latting Observatory built in New York City in 1853. In May 1884, working at home, Koechlin made a sketch of their idea, described by him as 'a great pylon, consisting of four lattice girders standing apart at the base and coming together at the top, joined together by metal trusses at regular intervals.'",envisioned
15,"Fyodor Mikhailovich Dostoevsky was a Russian ~_~writer, short story writer, essayist and journalist.",novelist
16,Many of his works are considered highly influential masterpieces. His ~_~works were widely read.,writings
17,Bose Corporation is an American manufacturing company that predominantly sells audio equipment. The purpose of the company was to ~_~manufacture speaker systems.,develop
18,"The company was ~_~established in Massachusetts in 1964 by Amar Bose. The company was established by Amar Bose in 1964 and is based in Framingham, Massachusetts.",founded
19,"Bose Corporation is an American manufacturing ~_~company that predominantly sells audio equipment. The company was established by Amar Bose in 1964 and is based in Framingham, Massachusetts. It is best known for its home audio systems and speakers, noise cancelling headphones, professional audio products and automobile sound systems. Bose has a reputation for being particularly protective of its patents, trademarks, and brands. The majority owner of Bose **Company** is the Massachusetts Institute of Technology. Non-voting shares were donated to MIT by founder Amar Bose, and receive cash dividends. According to the **company** annual report for the 2021 financial year, Bose **Company**'s annual sales were $3.2 billion, and the **company** employed approximately 7,000 people.",corporation
20,Altman invests in technology ~_~companies and nuclear energy companies.,startups
21,"During the depositor run on Silicon Valley Bank in mid-March 2023, Altman provided capital to multiple ~_~companies.",startups
22,The Lord of the Rings is an epic high-fantasy ~_~book by the English author and scholar J. R. R. Tolkien.,novel
23,"Tolkien's ~_~story, after an initially mixed reception by the literary establishment, has been the subject of extensive analysis of its themes, literary devices, and origins.",work
24,"Ontario (on- TAIR -ee-oh; French: […îÃÉta Åjo]) is one of the thirteen provinces and territories of Canada. Located in Central Canada, Ontario is the country's most ~_~populated province. As of the 2021 Canadian census, it is home to 38.5 percent of the country's population, and is the second-largest province by total area (after Quebec). Ontario is Canada's fourth-largest jurisdiction in total area of all the Canadian provinces and territories. It is home to the nation's capital, Ottawa, and its most ~_~populated city, Toronto, which is Ontario's provincial capital. Ontario is bordered by the province of Manitoba to the west, Hudson Bay and James Bay to the north, and Quebec to the east and northeast. To the south, it is bordered by the U.S. states of (from west to east) Minnesota, Michigan, Ohio, Pennsylvania, and New York. Almost all of Ontario's 2,700 km (1,700 mi) border with the United States follows inland waterways: from the westerly Lake of the Woods, eastward along the major rivers and lakes of the Great Lakes/Saint Lawrence River drainage system.","populous,populous"
25,"The Iliad is one of two major ancient Greek epic poems attributed to Homer. It is one of the oldest extant works of ~_~poetry still widely read by modern audiences. As with the Odyssey, the poem is divided into 24 books and was written in dactylic hexameter. It contains 15,693 lines in its most widely accepted version. Set towards the end of the Trojan War, a ten-year siege of the city of Troy by a coalition of Mycenaean Greek states, the poem depicts significant events in the siege's final weeks. In particular, it depicts a fierce quarrel between King Agamemnon and a ~_~famous warrior, Achilles. It is a central part of the Epic Cycle. The Iliad is often regarded as the first substantial piece of European poem.","literature,celebrated"
26,"Pink Floyd are an English rock band formed in London in 1965. Gaining an early following as one of the first British psychedelic ~_~bands, they were distinguished by their extended compositions, sonic experimentation, philosophical lyrics, and elaborate live shows. They became a leading band of the progressive rock genre, cited by some as the greatest progressive rock band of all time. Pink Floyd were founded in 1965 by Syd Barrett (guitar, lead vocals), Nick Mason (drums), Roger Waters (bass guitar, vocals), and Richard Wright (keyboards, vocals). Under Barrett's leadership, they released two hit singles, 'Arnold Layne' and 'See Emily Play', and the ~_~leading debut album The Piper at the Gates of Dawn (1967). Guitarist and vocalist David Gilmour joined in January 1968; Barrett left in April 1968 due to deteriorating mental health. Waters became the primary lyricist and thematic leader, devising the concepts behind Pink Floyd's most successful albums, The Dark Side of the Moon (1973), Wish You Were Here (1975), Animals (1977), and The Wall (1979). The musical film based on The Wall, Pink Floyd ñ The Wall (1982), won two BAFTA Awards. Pink Floyd also composed several film scores. Following personal tensions, Wright left Pink Floyd in 1981, followed by Waters in 1985. Gilmour and Mason continued as Pink Floyd, rejoined later by Wright. They ~_~composed the albums A Momentary Lapse of Reason (1987) and The Division Bell (1994), backed by major tours, before entering a long hiatus. In 2005, all but Barrett reunited for a performance at the global awareness event Live 8. Barrett died in 2006, and Wright in 2008. The last Pink Floyd studio album, The Endless River (2014), was based on unreleased material from the Division Bell recording sessions. In 2022, Gilmour and Mason reformed Pink Floyd to release the song 'Hey, Hey, Rise Up!' in protest at the Russian invasion of Ukraine. By 2013, Pink Floyd had sold more than 250 million records worldwide, making them one of the best-selling music artists of all time. The Dark Side of the Moon and The Wall were inducted into the Grammy Hall of Fame, and these albums and Wish You Were Here are among the best-selling albums of all time. Four Pink Floyd albums topped the US Billboard 200, and five topped the UK Albums Chart. Pink Floyd's hit singles include 'Arnold Layne' (1967), 'See Emily Play' (1967), 'Money' (1973), 'Another Brick in the Wall, Part 2' (1979), 'Not Now John' (1983), 'On the Turning Away' (1987) and 'High Hopes' (1994). They were inducted into the US Rock and Roll Hall of Fame in 1996 and the UK Music Hall of Fame in 2005. In 2008, Pink Floyd were awarded the Polar Music Prize in Sweden for their contribution to modern music.","groups,successful,produced"
27,The Border Collie is a British breed of herding dog of the collie ~_~breed of medium size.,type
28,"The border collie is descended from landrace collies, a dog ~_~type found widely in the British Isles.",breed
29,"South Africa, officially the Republic of South Africa, is the southernmost country in Africa. It is the southernmost country on the mainland of the Old World, and the second-most populous country located entirely south of the equator, after Tanzania. South Africa is a biodiversity hotspot, with unique biomes, plant and animal life. With over 62 million people, the country is the world's 23rd-most populous ~_~country and covers an area of 1,221,037 square kilometres (471,445 square miles). Pretoria is the administrative capital, while Cape Town, as the seat of Parliament, is the legislative capital. Bloemfontein has traditionally been regarded as the judicial capital. The largest city, and site of highest court is Johannesburg. About 80% of the population are Black South Africans. The remaining population consists of Africa's largest communities of European (White South Africans), Asian (Indian South Africans and Chinese South Africans), and multiracial (Coloured South Africans) ancestry. South Africa is a multicultural society encompassing a wide variety of cultures, languages, and religions. Its pluralistic makeup is reflected in the constitution's recognition of 12 official languages, the fourth-highest number in the world.",nation
30,"Coldplay are a British rock band formed in London in 1997. They consist of vocalist and pianist Chris Martin, guitarist Jonny Buckland, bassist Guy Berryman, drummer Will Champion and manager Phil Harvey. They initially met at University College London, calling themselves Big Fat Noises and changing to Starfish, before settling on the current name. After independently releasing an extended play, Safety (1998), Coldplay signed with Parlophone in 1999. The band's debut album, Parachutes (2000), included their breakthrough single ""Yellow"" and ~_~won a Brit Award for British Album of the Year, a Grammy Award for Best Alternative Music Album and a Mercury Prize nomination. Their second album, A Rush of Blood to the Head (2002), won the same accolades and included the single ""Clocks"", which won a Grammy Award for Record of the Year. Their third album, X&Y (2005), which completed what the band considered a trilogy, was nominated for the Grammy Award for Best Rock Album. Their fourth album, Viva la Vida or Death and All His Friends (2008), won Best Rock Album. Both albums were the best-selling of their respective years, topping the charts in over 30 countries. Viva la Vida was also nominated for Album of the Year, while its title track became the first single by a British ~_~band to simultaneously reach number one in the United Kingdom and United States in the 21st century. Coldplay further diversified their sound over their next five studio albums, the most recent being Music of the Spheres (2021). Each album presented a unique theme and added new musical styles to the band's original ~_~albums, including electronica, ambient, pop, R&B, classical and progressive rock. They are also known for ""euphoric"" and ""immersive"" live performances, which NME said are when the band ""come alive and make the most sense"". In 2018, a career-spanning documentary directed by Mat Whitecross was released in cinemas to celebrate the band's 20th anniversary.","received,group,repertoire"
